content,score,at,sentiment,processed_content,review_length
banyakin promo dan gratis ongkir,5,2025-03-04 13:59:29,positive,banyakin promo grati ongkir,32
Nice apps,5,2025-03-04 13:57:27,positive,nice app,9
"kesel banget,udah co barang udah memenuhi syarat juga, kenapa transaksinya di batalkan tokped? kecewa bangett",1,2025-03-04 13:57:10,negative,kesel bangetudah co barang udah memenuhi syarat transaksinya batalkan tokp kecewa bangett,109
ga bisa bayar di tempat,2,2025-03-04 13:55:18,negative,ga bayar,23
makin keren tokped. semoga makin sukses dan banyakin promo gratis ongkir nya tokped.....😘😘😘,5,2025-03-04 13:49:46,positive,keren tokp semoga suks banyakin promo grati ongkir nya tokped😘😘😘,91
Very good application and lots of promos,5,2025-03-04 13:40:04,positive,veri good applic and lot of promo,40
Ok,4,2025-03-04 13:25:09,positive,ok,2
tydakkk di ragukan lagi moakk,5,2025-03-04 13:12:45,positive,tydakkk ragukan moakk,29
Senang sekali dengan aplikasi stu iniiii🫶,5,2025-03-04 13:04:27,positive,senang aplikasi stu iniiii🫶,41
"dikit"" di batalkan",1,2025-03-04 12:41:33,negative,dikit batalkan,18
Bulan Penuh berkah Bersama Tokopedia 👍,5,2025-03-04 12:27:04,positive,penuh berkah tokopedia 👍,38
Sering error' dan lemot,2,2025-03-04 12:25:35,negative,error lemot,23
抱歉，我已经转到橙色阵营了。这边的折扣很吝啬，过期后第二天就没有折扣了，其他平台还一直有折扣，所以不想再下单了。每天都在查看商品，但从来没有折扣。再见了。,3,2025-03-04 12:22:16,neutral,抱歉，我已经转到橙色阵营了。这边的折扣很吝啬，过期后第二天就没有折扣了，其他平台还一直有折扣，所以不想再下单了。每天都在查看商品，但从来没有折扣。再见了。,77
ok,5,2025-03-04 12:20:33,positive,ok,2
kereeeennn,5,2025-03-04 12:20:08,positive,kereeeennn,10
good luck ❤️,5,2025-03-04 12:13:27,positive,good luck ❤️,12
"coba dong untuk masalah login kembali menggunakan akun yang pernah di gunakan login sebelum nya mohon untuk bisa di pakai lagi untuk bisa login kembali apabila saya ingin menggunakan Tokopedia nya lgi , soalnya waktu itu sempet login ulang pake akun utama ku itu tidak bisa karena sudah pernah login dan di arahkan menggunakan akun google yang lain. tolong di perbaiki dong",4,2025-03-04 12:12:35,positive,coba login akun login nya mohon pakai login tokopedia nya lgi sempet login ulang pake akun utama ku login arahkan akun googl tolong perbaiki,373
Aplikasi mulai tidak jelas.. Mau daftar later juga gagal tanpa ada alasan dan penjelasan yang jelas,1,2025-03-04 12:09:02,negative,aplikasi daftar later gagal alasan penjelasan,99
Tik tok shope x tokopedia sgt jelek pelayanan nya LAMAAA tdk seperti toko oren yg cepat selesai. Hanya masalah kecil saja harus nunggu 48 jam. Haduhh apalagi sih yg harus di cek bukti dari saya seharusnya sdh cukup tdk usaj di cek cek berkali² LAMAAA... Event nya cmn hari ini gara² masalah pembayaran sdh berhasil malah di cancel otomatis dr sistem ini saya jd males pake tiktok shop x tokopedia.,1,2025-03-04 12:08:05,negative,tik tok shope x tokopedia sgt jelek pelayanan nya lamaaa tdk toko oren yg cepat selesai nunggu jam haduhh sih yg cek bukti sdh tdk usaj cek cek berkali² lamaaa event nya cmn gara² pembayaran sdh berhasil cancel otomati dr sistem jd male pake tiktok shop x tokopedia,397
"Belanja di ➡dsini lebih murah dbln ramadhan , pasti senang",2,2025-03-04 11:56:08,negative,belanja ➡dsini murah dbln ramadhan senang,58
Good wes,5,2025-03-04 11:44:05,positive,good we,8
sangat membantu,5,2025-03-04 11:42:36,positive,membantu,15
"Akhir2 ini tanda pesan belum di baca muncul terus, dibuka tdk ada pesan masuk baru",4,2025-03-04 11:35:06,positive,tanda pesan baca muncul dibuka tdk pesan masuk,82
okkkk,5,2025-03-04 11:32:28,positive,okkkk,5
"diskon pelanggan baru ilang gara² dibatalin sistem , pdhal udah tf",2,2025-03-04 11:25:55,negative,diskon pelanggan ilang gara² dibatalin sistem pdhal udah tf,66
Cukup bagus,5,2025-03-04 11:23:29,positive,bagu,11
"sebenarnya tokopedia secara harga, UI dll bagus. Tetapi faktor paling buruknya pemilihan kurir rekomendasi, saya punya paket yang dikirim ID Express dari MH Tegal sudah sampai di MH Semarang tapi kembali lagi ke MH Tegal dan masuk ke MH Surakarta, kenapa tidak dari Semarang ke Surakarta saja, akibatnya paket terlalu lama sampai",1,2025-03-04 11:11:08,negative,tokopedia harga ui dll bagu faktor buruknya pemilihan kurir rekomendasi paket dikirim id express mh tegal mh semarang mh tegal masuk mh surakarta semarang surakarta akibatnya paket,329
Iklan nya berisik triak²,1,2025-03-04 11:04:05,negative,iklan nya berisik triak²,24
"baru mau coba lagi,ulasannya lain kali aja...",5,2025-03-04 11:01:51,positive,coba lagiulasannya kali aja,45
Semenjak bergabung dengan tiktok jadi pelit vocer. Ga kaya dulu lagi,1,2025-03-04 11:00:31,negative,semenjak bergabung tiktok pelit vocer ga kaya,68
"Marketplace Paling lemot pengirimanya, barang sampai selalu lewat dari estimasi",1,2025-03-04 10:57:46,negative,marketplac lemot pengirimanya barang estimasi,79
Dengan adanya Tokopedia blanja jadi semakin mudah gak pakai r8bet.,5,2025-03-04 10:57:39,positive,tokopedia blanja mudah gak pakai rbet,66
oke mantep,4,2025-03-04 10:57:35,positive,oke mantep,10
Bug Shake - Shake sangat meresahkan sudah di silang muncul terus membuat saya sangat tidak nyaman tolong di perbaiki🙏🙏,1,2025-03-04 10:39:01,negative,bug shake shake meresahkan silang muncul nyaman tolong perbaiki🙏🙏,118
pengiriman cepat dan banyak promo,5,2025-03-04 10:29:15,positive,pengiriman cepat promo,33
nice,5,2025-03-04 10:26:14,positive,nice,4
"aplikasi cacat gk kaya dulu, sekarang isi e-money tengah malem jam 1an bisa tpi saldonya ampe sekarang gk ke update isi nya 50rb tpi pas sekarang siang nya d cek malah gk ke isi. Cacat.",1,2025-03-04 10:22:50,negative,aplikasi cacat gk kaya isi emoney malem jam an tpi saldonya amp gk updat isi nya rb tpi pa siang nya d cek gk isi cacat,185
ok.ok,5,2025-03-04 10:01:17,positive,okok,5
mudah digunakan,4,2025-03-04 09:58:35,positive,mudah,15
"Aneh bgt kocak gua uda beli trs di batalin sm toko nya, eh, voucher ga kmbli lgi",1,2025-03-04 09:29:44,negative,aneh bgt kocak gua uda beli tr batalin sm toko nya eh voucher ga kmbli lgi,80
mantap,5,2025-03-04 09:28:45,positive,mantap,6
manfaat,5,2025-03-04 09:23:59,positive,manfaat,7
Saya baru download semoga memuaskan layanannya,5,2025-03-04 09:15:08,positive,download semoga memuaskan layanannya,46
"Estimasi pengiriman terlalu lama,, bikin kapok, jasa pengiriman ribet,, ongkir mahal,ribet,lama,,kacau,,jangan dah klo masih blanja di sini klo kurirnya lama,, pengiriman masih di pulau jawa bisa 1 minggu,,padahal sudah didaerah,,masih ditahan nunggu pas estimasi 1minggu,, kurir tolol,,",1,2025-03-04 09:12:23,negative,estimasi pengiriman bikin kapok jasa pengiriman ribet ongkir mahalribetlamakacaujangan dah klo blanja klo kurirnya pengiriman pulau jawa minggupadah didaerahmasih ditahan nunggu pa estimasi minggu kurir tolol,287
bagus,5,2025-03-04 09:11:44,positive,bagu,5
"Sangat merasa dirugikan berbelanja disini karna barang yg dtg tidak sesuai, sudsh mengajukan komplain dan diinstruksikan utk kirim balik barang ke penjual, saya lakukan bahkan sudah terkirim di hari esoknya, tp seminggu lebih bahkan dari tokopedia bilang saya gak ada update resi. Semoga gk ada lg yg merasakan apa yg saya rasakan. Sudah rugi gak dapat barang, pengembalian uangpun gak ada.",1,2025-03-04 09:07:58,negative,dirugikan berbelanja karna barang yg dtg sesuai sudsh mengajukan komplain diinstruksikan utk kirim barang penjual lakukan terkirim esoknya tp seminggu tokopedia bilang gak updat resi semoga gk lg yg merasakan yg rasakan rugi gak barang pengembalian uangpun gak,390
"Aplikasi error keluar shake"" Mulu bikin kesel jadi g bisa belanja",1,2025-03-04 09:07:46,negative,aplikasi error shake mulu bikin kesel g belanja,65
menyala sekali,5,2025-03-04 08:55:16,positive,menyala,14
sangat puas belanja d toped krb banyak promonya ..tq toped,5,2025-03-04 08:51:45,positive,pua belanja d tope krb promonya tq tope,58
"Selamat pagi kak, izin bertanya apakah app ini bisa isi kuota hinet kah ? Mohon di respon kak, terimakasih 🙏🏻",2,2025-03-04 08:44:10,negative,selamat pagi kak izin app isi kuota hinet kah mohon respon kak terimakasih 🙏🏻,109
"bagus mantap, lebih ajib lagi kalo ketika paket di antar, kita bisa melihat lokasi paket dimana seperti di aplikasi sebelah, ada maps nya, jadi kita tau paket kita ada di daerah mana",5,2025-03-04 08:32:36,positive,bagu mantap ajib kalo paket lokasi paket dimana aplikasi sebelah map nya tau paket daerah,182
gopay mantap sangat membantu,4,2025-03-04 08:19:41,positive,gopay mantap membantu,28
Ok,5,2025-03-04 07:42:33,positive,ok,2
Maaf ..admin toko pedia...apakah kurir ya di Tokopedia hanya JNE aja?...gak ada kurir lain..saya pribadi lebih suka JNT..atau kurir express .di shopie kurir ya banyak..JNE terkadang bermasalah...lama proses pengiriman nya .mohon di perbaikin kurir nya boss..biar nyaman menggunakan Tokopedia.🙃🙃🙃,3,2025-03-04 07:40:20,neutral,maaf admin toko pediaapakah kurir ya tokopedia jne ajagak kurir lainsaya pribadi suka jntatau kurir express shopi kurir ya banyakjn terkadang bermasalahlama prose pengiriman nya mohon perbaikin kurir nya bossbiar nyaman tokopedia🙃🙃🙃,295
mantap,5,2025-03-04 07:37:52,positive,mantap,6
Bagus,5,2025-03-04 07:25:32,positive,bagu,5
Pembelian pertama dapat harga yang murah syekaliiii terima kasih toko.pedia .,5,2025-03-04 07:10:44,positive,pembelian harga murah syekaliiii terima kasih tokopedia,77
Mantabbbbbbbb 👌👌👌👍🏽,5,2025-03-04 07:06:01,positive,mantabbbbbbbb 👌👌👌👍🏽,19
masih dpt promo pengguna baru... harga nya murah2..,5,2025-03-04 06:51:27,positive,dpt promo pengguna harga nya murah,51
okeh,5,2025-03-04 06:42:36,positive,okeh,4
"Mantap,pelayanan gercep...",5,2025-03-04 06:35:26,positive,mantappelayanan gercep,26
"W tadi MLM beli headset langsung w bayar pke dana,terus di batalin dari pihak tokped nya,duit ilang barang gak ada. Maksudnya kalo mau di batalin MH atuhh kembaliin kek saldo nya ini mah kan rugi ke w min🙏",1,2025-03-04 06:19:33,negative,w mlm beli headset langsung w bayar pke danateru batalin tokp nyaduit ilang barang gak maksudnya kalo batalin mh atuhh kembaliin kek saldo nya mah rugi w min🙏,205
Jangan sampai salah order,4,2025-03-04 06:15:44,positive,salah order,25
"Setiap beli barang pasti ga ad yg bener. Barang rusak/clone/tidak sesuai yg d pesan/tidak tepat waktu. Kacau kali ni apk (kecewa saya) Saran buat yg suka belanja online Kalau beli dari tokpet cuma rekom belanja dari tiktok Klau dri apk lansung bagus dari Shopee sih, jauh x kualitasny",1,2025-03-04 05:51:29,negative,beli barang ga ad yg bener barang rusakclonetidak sesuai yg d pesantidak kacau kali ni apk kecewa saran yg suka belanja onlin beli tokpet rekom belanja tiktok klau dri apk lansung bagu shope sih x kualitasni,284
top bgt,5,2025-03-04 05:12:55,positive,top bgt,7
Sippp,5,2025-03-04 04:56:09,positive,sippp,5
ok,5,2025-03-04 04:54:47,positive,ok,2
keren tokopedia,5,2025-03-04 04:42:50,positive,keren tokopedia,15
Saya ada kendala divoucher tidak dapa dilihat apa saja vouchernya malah sekarang tidak dapat voucher sama sekali.. gimana sih.. tolong diperbaiki lagi. Biar enak.,1,2025-03-04 04:37:25,negative,kendala divouch dapa vouchernya voucher gimana sih tolong diperbaiki biar enak,162
"Aku benci toko pedia di update terbaru ini, riwayat transaksiku hilang begitu saja seakan aku tidak pernah bertransaksi, nomer id listrik, pdam, wifi yang tersimpan sudah tidak ada, itu membuatku kesulitan karena telat membayar tanpa id pelanggan",3,2025-03-04 04:17:14,neutral,benci toko pedia updat terbaru riwayat transaksiku hilang seakan bertransaksi nomer id listrik pdam wifi tersimpan membuatku kesulitan telat membayar id pelanggan,246
oke bingit,3,2025-03-04 04:10:38,neutral,oke bingit,10
sangat memuaskan,5,2025-03-04 03:56:09,positive,memuaskan,16
sangat mudah di pesan,5,2025-03-04 03:43:09,positive,mudah pesan,21
Bagus sukses slalu,5,2025-03-04 03:36:04,positive,bagu suks slalu,18
"Produk lokal kenapa sampah semua dah. Udah g punya ekpedisi sendiri kyk sebelah, sekarang fitur chat g bisa di hapus? Kalo isinya spam iklan semua apa gak sumpek liatnya.? Mending tutup dah goto g guna.",1,2025-03-04 03:32:16,negative,produk lokal sampah dah udah g ekpedisi kyk sebelah fitur chat g hapu kalo isinya spam iklan gak sumpek liatnya mend tutup dah goto g,202
Sangat bermanfaat,5,2025-03-04 02:19:08,positive,bermanfaat,17
mantap,5,2025-03-04 01:13:17,positive,mantap,6
sangat bagus,5,2025-03-04 01:10:28,positive,bagu,12
cara pembayaran yang mudah,5,2025-03-04 01:03:14,positive,pembayaran mudah,26
good,5,2025-03-04 00:51:55,positive,good,4
"sempurna, jangan lupa promo nya di gacorr in terusss bosss tokpet",5,2025-03-04 00:24:04,positive,sempurna lupa promo nya gacorr in terusss bosss tokpet,65
suka banget batalin pesenan orang si tokped ini ganiat kasih promo,1,2025-03-04 00:20:58,negative,suka banget batalin pesenan orang si tokp ganiat kasih promo,66
Ketika mesan produk selalu batal,1,2025-03-04 00:14:53,negative,mesan produk batal,32
"Maret 2025,, kolom diskusi&pertanyaan setiap produk tidak bisa diakses&digunakan oleh umum,, meningkatkan fraud/penipuan penjualan produk palsu/kw,,, mengurangi kewaspadaan pembeli yg minim info,, intinya perlindungan konsumen semakin minim... Hanya bisa diskusi langsung dengan seller...",1,2025-03-04 00:04:05,negative,maret kolom diskusipertanyaan produk diaksesdigunakan meningkatkan fraudpenipuan penjualan produk palsukw mengurangi kewaspadaan pemb yg minim info intinya perlindungan konsumen minim diskusi langsung seller,288
"Pesanan saya di batalkan oleh sistem, cs Tokopedia tidak menjawab",1,2025-03-04 00:02:16,negative,pesanan batalkan sistem cs tokopedia,65
"Biarkan bintang yang berbicara (note) nanti kalo tokopedia udh stabil, bakal saya instal lagi dan saya beri bintang 100. kalo ada 😆..",1,2025-03-03 23:54:22,negative,biarkan bintang berbicara note kalo tokopedia udh stabil instal bintang kalo 😆,133
ok,5,2025-03-03 23:53:56,positive,ok,2
belanja mudah ditokopedia,5,2025-03-03 23:46:36,positive,belanja mudah ditokopedia,25
BIAYA LAYANAN ATAU ADMINNYA KURANGIN NGO,1,2025-03-03 23:43:38,negative,biaya layanan adminnya kurangin ngo,40
Terima kasih,4,2025-03-03 23:34:46,positive,terima kasih,12
"Pengiriman sangat baik, & cepat...??? 👍👍",5,2025-03-03 23:26:36,positive,pengiriman cepat 👍👍,40
Apk ga jelas,1,2025-03-03 23:23:03,negative,apk ga,12
setiap belanja selalu dapet gratis ongkir,5,2025-03-03 23:16:00,positive,belanja dapet grati ongkir,41
good,5,2025-03-03 23:11:12,positive,good,4
Mantap,5,2025-03-03 23:06:09,positive,mantap,6
bintangku yg berkomentar🤗,5,2025-03-03 23:01:40,positive,bintangku yg berkomentar🤗,25
Mau komplen ke toko susah banget hadeh,4,2025-03-03 22:54:02,positive,komplen toko susah banget hadeh,38
"Review bintang Tokopedia.,saya berikan bintang 1.,sebab Tokopedia Care tidak ada gunanya.,Robot yanga jawab., dialihkan ke manusia slow respon.,lamaaa..di suruh menunggu sampai 10 menit.,sudah saya tggu tidak ada juga Responnya..",1,2025-03-03 22:28:38,negative,review bintang tokopediasaya bintang tokopedia care gunanyarobot yanga dialihkan manusia slow responlamaaadi suruh menunggu menitsudah tggu responnya,229
"pembayaran dan alamat terhubung lgsg dg tiktok, sangat dipermudah. Terimakasih",5,2025-03-03 22:22:24,positive,pembayaran alamat terhubung lgsg dg tiktok dipermudah terimakasih,78
Sangat bagus,5,2025-03-03 22:08:24,positive,bagu,12
Yg sya tidak suka dengan Tokopedia Kami batalkan karena penjual tidak merespon dan proses pengiriman tidak di lakukan walaupun sudah 5 hari. Tapi di proses pembatalannya tidak ada pilihan dibatalkan karena seller tidak memproses pembelian.. tapi hanya ada pilihan 1. Ada produk lain yg lebih murah 2. Ingin mengganti jasa pengiriman.. Hal seperti ini yg dimenangkan adalah penjual. Sedangkan pembeli dikorbankan Buat layanan keluhan yg simpel buat yg kami bisa ketik keluhan kami seperti apa..,1,2025-03-03 22:05:07,negative,yg sya suka tokopedia batalkan penjual merespon prose pengiriman lakukan prose pembatalannya pilihan dibatalkan seller mempros pembelian pilihan produk yg murah mengganti jasa pengiriman yg dimenangkan penjual pemb dikorbankan layanan keluhan yg simpel yg ketik keluhan,493
"Aplikasi Gk jelas Sumpahh!!! Awal ny Dapat Diskon pengguna Baru 70% Sampe Isi gopay 30k ke konter jauh jauh, mau beli Barang wishlist Gw, Pas mau beli pake diskon 70% awal nya berhasil Seneng, ehhhhh kemudian pesanan saya di batalkan oleh sistem padahal Itu akun baru, besok nya ada vocher yg sama 70% saya coba lagi beli tapi sama pesanan saya di Batalkan oleh sistem Tidak ada Pertanggung jawaban ny, Tolong dong janga di batalkan Pesanan saya yg pake VOC 70% ⭐",1,2025-03-03 21:59:54,negative,aplikasi gk sumpahh ny diskon pengguna samp isi gopay k konter beli barang wishlist gw pa beli pake diskon nya berhasil seneng ehhhhh pesanan batalkan sistem akun besok nya vocher yg coba beli pesanan batalkan sistem pertanggung ny tolong janga batalkan pesanan yg pake voc ⭐,463
"sangat mempermudah ,dalam segala hal .",5,2025-03-03 21:57:39,positive,mempermudah,38
bagus skli,5,2025-03-03 21:55:14,positive,bagu skli,10
ok,5,2025-03-03 21:53:28,positive,ok,2
bagus,5,2025-03-03 21:49:25,positive,bagu,5
👍👍👍👍👍,5,2025-03-03 21:48:37,positive,👍👍👍👍👍,5
3 dulu baru coba di tokopedia semoga ga seperti app sebelah .,3,2025-03-03 21:40:50,neutral,coba tokopedia semoga ga app sebelah,61
"Ongkirnya gak ngotak untuk luar pulau jawa, saya di Sumatera, harga barang cuma 30rb tapi ongkirnya 50rb, ngotak dikit kalo ngasih ongkir. Mending belanja di toko sebelah kalo gini caranya",1,2025-03-03 21:36:02,negative,ongkirnya gak ngotak pulau jawa sumatera harga barang rb ongkirnya rb ngotak dikit kalo ngasih ongkir mend belanja toko sebelah kalo gini,188
mantap,5,2025-03-03 21:34:48,positive,mantap,6
Ribet,1,2025-03-03 21:27:36,negative,ribet,5
the best,5,2025-03-03 21:12:10,positive,the best,8
baguuuuuuusssssss,4,2025-03-03 21:11:28,positive,baguuuuuuusssssss,17
pembayaran dibuat mudah,5,2025-03-03 21:00:49,positive,pembayaran mudah,23
"tolong kurir nya jgn pake SAPX ga beres , barang ga nyampe status selesai, tokped harus aji ulang rekomen pengirimannnya",2,2025-03-03 21:00:41,negative,tolong kurir nya jgn pake sapx ga bere barang ga nyamp statu selesai tokp aji ulang rekomen pengirimannnya,120
Mantap,5,2025-03-03 20:36:27,positive,mantap,6
pelayanan bgs,5,2025-03-03 20:33:30,positive,pelayanan bg,13
"bagus, banyak diskon besss",5,2025-03-03 20:32:13,positive,bagu diskon besss,26
"nice, tp lain kali jgn batalin lagi ya😊, padahal udah dibayar... mana pengembalian saldonya cuma harga produknya",3,2025-03-03 20:31:22,neutral,nice tp kali jgn batalin ya😊 udah dibayar pengembalian saldonya harga produknya,112
"mantab bgt si soalnya sering dpt voucher diskon gede,mksi tokped👐",5,2025-03-03 20:16:28,positive,mantab bgt si dpt voucher diskon gedemksi tokped👐,65
apk ga jelas masa udah beli langsung di batalin oleh sistem dananya juga dikurangin 2000 emang ga jelas,1,2025-03-03 20:15:38,negative,apk ga udah beli langsung batalin sistem dananya dikurangin emang ga,103
Pesanan tiba tiba dibatalkan sistem voucher hilang gak bisa dipake,1,2025-03-03 20:12:14,negative,pesanan dibatalkan sistem voucher hilang gak dipak,66
Sangat membantu untuk semua orang yang bertekad untuk menjadi seorang yang sukses.,5,2025-03-03 20:05:59,positive,membantu orang bertekad suks,82
toko pedia sangat rekomendet,5,2025-03-03 20:05:29,positive,toko pedia rekomendet,28
mantap,5,2025-03-03 19:50:37,positive,mantap,6
good aplication,5,2025-03-03 19:41:32,positive,good aplic,15
"Barang saya tertolak di bandara, pihak ekspedisi merubah pengiriman dengan moda transportasi lain, akhirnya pembeli komplain karena estimasi pengiriman yang semula beberapa hari menjadi 20-30hari, akhirnya pembeli mengajukan cancel ke pihak ekspedisi tetapi tidak bisa karena harus di cancel via tokopedia, tapi tokopedia berdalih barang yang sudah di ekspedisi tidak bisa di batalkan, chat customer service tidak jelas (bot) telepon hotline juga ga jelas, barang saya ga jelas nasibnya",1,2025-03-03 19:37:19,negative,barang tertolak bandara ekspedisi merubah pengiriman moda transportasi pemb komplain estimasi pengiriman pemb mengajukan cancel ekspedisi cancel via tokopedia tokopedia berdalih barang ekspedisi batalkan chat custom servic bot telepon hotlin ga barang ga nasibnya,486
mantap kali,5,2025-03-03 19:36:05,positive,mantap kali,11
semoga cepat datang pengiriman,5,2025-03-03 19:24:31,positive,semoga cepat pengiriman,30
Pacarnya duolingo kah?,5,2025-03-03 19:09:06,positive,pacarnya duolingo kah,22
Baik Cs tokopedia dan sheller tokopedia sangat buruk di tahun 2025 awal bulan maret kembalikan uang saya,1,2025-03-03 19:04:04,negative,cs tokopedia sheller tokopedia buruk maret kembalikan uang,104
mantap aku selalu pake tokopedia terimakasih,5,2025-03-03 18:49:04,positive,mantap pake tokopedia terimakasih,44
mantap,4,2025-03-03 18:40:43,positive,mantap,6
respon cepat sx,5,2025-03-03 18:35:38,positive,respon cepat sx,15
"Knapa pada erorr, mau tambah produk ngak bisa, tambah parah ni app,beli barang COD ada pas dipesan ngak bisa, aplikasi sampah",1,2025-03-03 18:18:39,negative,knapa erorr produk ngak parah ni appb barang cod pa dipesan ngak aplikasi sampah,125
"Chat ga bisa di delete woii, sampe penuh",1,2025-03-03 18:07:49,negative,chat ga delet woii samp penuh,40
Suka Error. sistem kurang bijak dan jelas,1,2025-03-03 18:07:23,negative,suka error sistem bijak,41
Hati hati kalau belanja di toko pedia sekarang sudah mulai tidak aman... Banyak seller / penjual yang tidak amanah... Bisa bisa nya toko pedia meloloskan seller / penjual seperti itu di tambah lagi cs toko pedianya slow respon dalam menangani kasus seperti itu Kecewa banget dengan perporma toko pedia sekarang,1,2025-03-03 18:05:48,negative,hati hati belanja toko pedia aman seller penjual amanah nya toko pedia meloloskan seller penjual cs toko pedianya slow respon menangani kecewa banget perporma toko pedia,310
"Apa fungsi nya Grab Instan (3 Jam ) di Tokped yang harga ongkirnya 130k, tapi seller molor gak proses-proses pesanan (dan di aplikasi diberi tenggang waktu 24 jam untuk seller mem proses).",1,2025-03-03 18:01:07,negative,fungsi nya grab instan jam tokp harga ongkirnya k seller molor gak prosespros pesanan aplikasi tenggang jam seller mem prose,188
baikkkk bangetttttttttttt theeee besttt pokonyaaa banyakan voucher dan gratong lagi ya minnn soalnyaaaa susah banget kalo ga ada voucher hehehe the best pokonyaa tokpetttttttttttt🤍🤍🤍🤍🤍🤍🤍🤍,5,2025-03-03 17:57:06,positive,baikkkk bangetttttttttttt theeee besttt pokonyaaa banyakan voucher gratong ya minnn soalnyaaaa susah banget kalo ga voucher heheh the best pokonyaa tokpetttttttttttt🤍🤍🤍🤍🤍🤍🤍🤍,187
Terlalu ribet.. Ganti no HP aja susah minta ampun.. Aplikasi ampas..,1,2025-03-03 17:53:15,negative,ribet ganti no hp aja susah ampun aplikasi ampa,68
"mantap, transaksi lebih muda.👍",5,2025-03-03 17:51:19,positive,mantap transaksi muda👍,30
Gabisa di dondload,1,2025-03-03 17:36:51,negative,gabisa dondload,18
"Untuk masalah pembatalan pesanan terlalu rumit dan butuh waktu lama.harusnya bisa dipercepat karena resi juga belum keluar dimenu pesanan,bukan harus nungguin konfirmasi penjual baru bisa dibatalkan",1,2025-03-03 17:29:28,negative,pembatalan pesanan rumit butuh lamaharusnya dipercepat resi dimenu pesananbukan nungguin konfirmasi penjual dibatalkan,198
good,5,2025-03-03 17:26:17,positive,good,4
Diskon lumayan banyak tapi pengiriman sangat sangat lelet,3,2025-03-03 17:01:04,neutral,diskon lumayan pengiriman lelet,57
mantap,5,2025-03-03 16:55:06,positive,mantap,6
"mantap,praktis",5,2025-03-03 16:47:58,positive,mantapprakti,14
"Suka dikembalikan danannya, suka eror klo bayar lewat indomaret, ngabisin waktu",2,2025-03-03 16:38:07,negative,suka dikembalikan danannya suka eror klo bayar indomaret ngabisin,79
Buruan download deh murah murah,5,2025-03-03 16:35:43,positive,buruan download deh murah murah,31
"Tidak pernah dapat voucher lagi sekarang tuh aneh Tokopedia sekarang tuh, ya sekarang sih bukan lagi milik orang Indonesia ya jadi gini",1,2025-03-03 16:32:14,negative,voucher tuh aneh tokopedia tuh ya sih milik orang indonesia ya gini,135
"terimakasih atas promo nya sering"" kaya gini yh 🙏🤗😊 usahakan selalu bisa cod ke rumah pedalaman. 😍",5,2025-03-03 16:19:19,positive,terimakasih promo nya kaya gini yh 🙏🤗😊 usahakan cod rumah pedalaman 😍,98
ok bngttt,5,2025-03-03 16:16:05,positive,ok bngttt,9
"Apk rusak sampah bukan apk bokop kok harus banget pakai pin selesai bikin pin harus verifikasi abis verivikasi bikin pin lagi parah ulang"" trs ini ke 3 kali nya gw unduh dan ke 3 kalinya gw hapus apk ampas rusak parah dari dlu belum di perbaiki sistem dan bug nya apk kayak gini tuh gk pantas harus pakai pin kalau nekopoi michat google lah masuk akal harus pakai pin biar jatung aman ini apk marketplace kok harus pakai pin dan abis bikin pin harus verifikasi apk ampassss kayak lagi sembunyiin ap",1,2025-03-03 15:44:57,negative,apk rusak sampah apk bokop banget pakai pin selesai bikin pin verifikasi abi verivikasi bikin pin parah ulang tr kali nya gw unduh kalinya gw hapu apk ampa rusak parah dlu perbaiki sistem bug nya apk kayak gini tuh gk pakai pin nekopoi michat googl masuk akal pakai pin biar jatung aman apk marketplac pakai pin abi bikin pin verifikasi apk ampassss kayak sembunyiin ap,498
"Halaman tidak tersedia padahal kecepatan internet aman, aneh².",2,2025-03-03 15:43:00,negative,halaman tersedia kecepatan internet aman aneh²,62
cepat,5,2025-03-03 15:39:16,positive,cepat,5
Aplikasinya... Skarang Menjadi Lebih Berat/Lambat setelah Di Update.... Mohon agar di Perbaiki agar Menjadi Ringan...,2,2025-03-03 15:35:44,negative,aplikasinya skarang beratlambat updat mohon perbaiki ringan,117
"Dalam pencarian barang mohon ditampilkan produk yang terjangkau harganya dan lebih banyak lagi variasinya, terimakasih. Tokopedia Top",5,2025-03-03 15:34:37,positive,pencarian barang mohon ditampilkan produk terjangkau harganya variasinya terimakasih tokopedia top,133
"tokopedia gimana caranya bayar tagihan menggunakan dua metode pembayaran, karena sudah saya coba sekarang ga bisa. kalau dulu misalnya saya punya saldo gopay 100 rb tagihan yang harus di bayar misalnya 150rb sisa tagihannya bisa menggunakan metode lain misalnya bayar di alfamart, indomart dll. mohon bantuanya, terima kasih",5,2025-03-03 15:33:06,positive,tokopedia gimana bayar tagihan metod pembayaran coba ga saldo gopay rb tagihan bayar rb sisa tagihannya metod bayar alfamart indomart dll mohon bantuanya terima kasih,324
anggota baru,4,2025-03-03 15:27:27,positive,anggota,12
tokopedia emang matap👍👍,5,2025-03-03 15:27:22,positive,tokopedia emang matap👍👍,23
"Diaplikasi ini tdk berlaku pembeli adalah raja krn jika saya komplain selalu penjual yg benar,jadi yg berlaku PENJUAL ADALAH RAJA!!!",1,2025-03-03 15:16:10,negative,diaplikasi tdk berlaku pemb raja krn komplain penjual yg benarjadi yg berlaku penjual raja,132
bagis,5,2025-03-03 15:11:05,positive,bagi,5
