content,score,at,sentiment,processed_content
"Saya lebih suka belanja di shopee sama lazada karna pembayaran Nya bisa melalui COD ,,mau belanja di tokopedia aku cek2 Ternyata Ga bisa bayar di tempat",1,2025-02-28 11:05:44,negative,suka belanja shope lazada karna pembayaran nya cod belanja tokopedia cek ga bayar
"Harga nya kenapa ga sesuai dgn yg tertera,mau checkout lgsung berubah harganya",1,2025-02-28 11:05:14,negative,harga nya ga sesuai dgn yg terteramau checkout lgsung berubah harganya
Koq ❌ login,1,2025-02-28 10:58:07,negative,koq ❌ login
Jelek apk ny bug mulu,1,2025-02-28 10:47:04,negative,jelek apk ny bug mulu
PELIT GRATIS ONGKIR !!!!!,1,2025-02-28 10:46:43,negative,pelit grati ongkir
banyak diskon. suka,5,2025-02-28 10:33:30,positive,diskon suka
Tidak memuaskan,1,2025-02-28 10:30:45,negative,memuaskan
Ayo tokped bakar duitmu untuk kalahkan si oren!!,1,2025-02-28 10:15:12,negative,ayo tokp bakar duitmu kalahkan si oren
Suka membatalkan sepihak padahal udah bayar tiba2 d batalkan sm sistemya👎👎👎👎,1,2025-02-28 10:12:30,negative,suka membatalkan udah bayar d batalkan sm sistemya👎👎👎👎
Tolong donx..tokopedia bikin mb nya yg kecil 29mb byar saya masuk order..enak ngk lemot,4,2025-02-28 10:02:21,positive,tolong donxtokopedia bikin mb nya yg mb byar masuk orderenak ngk lemot
"Membantu dan melindungi hak konsumen, mantap",5,2025-02-28 09:59:17,positive,membantu melindungi hak konsumen mantap
Banyak penipuan nya cs nya tidak membantu karena bukan Chat live seperti cs pada umumnya dan tidak bisa menyelesaikan masalah saya,1,2025-02-28 09:50:53,negative,penipuan nya cs nya membantu chat live cs menyelesaikan
Mantap,5,2025-02-28 09:46:12,positive,mantap
Mantap,5,2025-02-28 09:42:43,positive,mantap
dapat voucher banyak anjay,5,2025-02-28 09:28:56,positive,voucher anjay
ribet banget sie hrs pake kode verifikasi setiap pembayaran,5,2025-02-28 09:25:32,positive,ribet banget sie hr pake kode verifikasi pembayaran
"Terima kasih, TOKPED",5,2025-02-28 09:18:28,positive,terima kasih tokp
"Promo ghoib kek gojek wkwk, tolol",1,2025-02-28 08:53:26,negative,promo ghoib kek gojek wkwk tolol
good,5,2025-02-28 08:42:24,positive,good
"ini kalau ada bintang 100000000000000000000000 gw kasih deh, aplikasi paling top bgt deh Tokopedia, pertahanin yah biar usernya makin banyak",5,2025-02-28 08:25:15,positive,bintang gw kasih deh aplikasi top bgt deh tokopedia pertahanin yah biar usernya
proses mulu,1,2025-02-28 08:22:13,negative,prose mulu
oke,5,2025-02-28 08:14:15,positive,oke
selalu bisa diandalkan.,5,2025-02-28 08:07:52,positive,diandalkan
SEJAK DI CAPLOK TOKTOK NIH APK MAKIN GAK JELAS.SERING ERROR KUPON FREEONGKIR GAK MUNCUL.APK MAKIN BERAT.EKPEDISI YG DI GUNAKAN MAKIN BURUK .APK GAK SESIMPLE DAN CANTIK SEPERTI SAAT SEBELUM DI CAPLOK TOK TOK.,1,2025-02-28 07:48:50,negative,caplok toktok nih apk gak jelass error kupon freeongkir gak munculapk beratekpedisi yg buruk apk gak sesimpl cantik caplok tok tok
Toko pedia kalah mah sama shopee... Shopee balanja brapapun banyak gratis ongkirnya.. Lah toped..??,1,2025-02-28 07:47:01,negative,toko pedia kalah mah shope shope balanja brapapun grati ongkirnya tope
Tidak jelas pesanan saya di batalkan abis ngbug pokonya dh mls lah pake tokped klo kya gini mulu,1,2025-02-28 07:23:53,negative,pesanan batalkan abi ngbug pokonya dh ml pake tokp klo kya gini mulu
ssngat cocok,5,2025-02-28 07:11:26,positive,ssngat cocok
kenapa tokped saya udah 2 mingguan ini eror terus dn Ndak Isa di buka tolong secepatnya di perbaiki,2,2025-02-28 06:50:05,negative,tokp udah mingguan eror dn ndak isa buka tolong secepatnya perbaiki
Ok,5,2025-02-28 06:38:41,positive,ok
Aplikasi Tokopedia bagus buat belanja online tapi saran saya tambah metode pengiriman selain j&t karena tempat kami agak jauh dari j&t,5,2025-02-28 06:32:26,positive,aplikasi tokopedia bagu belanja onlin saran metod pengiriman jt jt
baru gabung,5,2025-02-28 06:31:28,positive,gabung
Keren,5,2025-02-28 06:22:49,positive,keren
mantab,5,2025-02-28 06:22:40,positive,mantab
"niat ngasih promo ga si, masa saya mau pesen barang tiba tiba promo nya ilang.",1,2025-02-28 06:22:20,negative,niat ngasih promo ga si pesen barang promo nya ilang
knp skrg chatnya gak bisa dihapus?,4,2025-02-28 06:01:08,positive,knp skrg chatnya gak dihapu
Bagaimana cara menampilkan fitur chat pembeli diakun tokped? Karena fitur chat ke pembeli tiba-tiba hilang setelah update,5,2025-02-28 05:50:59,positive,menampilkan fitur chat pemb diakun tokp fitur chat pemb tibatiba hilang updat
sangat sangat baik aplikasi ini memudahkan saya untuk berbelanja,5,2025-02-28 05:26:27,positive,aplikasi memudahkan berbelanja
"Aku kasih 2 bintang dulu Soalnya 3x dapet diskon potongan hoax terus,di batalin oleh sistem aja yang akhirnya diskon nya Angus,barang gak dapet,Kena PHP terus sama tokped nih...",2,2025-02-28 05:18:38,negative,kasih bintang x dapet diskon potongan hoax terusdi batalin sistem aja diskon nya angusbarang gak dapetkena php tokp nih
Terbantu,5,2025-02-28 05:09:05,positive,terbantu
Kelemahan Tokopedia adalah ongkirnya yg udah gak masuk akal untuk ke luar pulau. Ongkirnya sengaja di jadikan 2x lipat dari yg semestinya. Mending ke toko orens ongkirnya jauh lebih masuk akal. Toped sih memang utk pasar di pulau Jawa saja.,1,2025-02-28 04:44:54,negative,kelemahan tokopedia ongkirnya yg udah gak masuk akal pulau ongkirnya sengaja jadikan x lipat yg semestinya mend toko oren ongkirnya masuk akal tope sih utk pasar pulau jawa
Baru kali ini dibatalkan otomatis...emang sih kapan hari aplikasi terhapus terus buat lagi sama...mingkin itu jadi masalah...😥...ya...hapus lagi aja...walau awal sudah cocok....thank tokopedia...kapan2 instal lagi kalau dibutuhkan🙏👍,5,2025-02-28 03:00:38,positive,kali dibatalkan otomatisemang sih aplikasi terhapu samamingkin masalah😥yahapu ajawalau cocokthank tokopediakapan instal dibutuhkan🙏👍
Masya Allah,4,2025-02-28 02:51:46,positive,masya allah
bagus,5,2025-02-28 02:25:49,positive,bagu
wow,5,2025-02-28 02:23:21,positive,wow
sangat puas,5,2025-02-28 01:51:19,positive,pua
"Gopay later ga pernah di apro e , tapi ditawari terus . 🙄",1,2025-02-28 01:48:35,negative,gopay later ga apro e ditawari 🙄
dowload aplikasi ini cuman buat beli hp doang 🗿,5,2025-02-28 01:13:45,positive,dowload aplikasi cuman beli hp doang 🗿
keren,4,2025-02-28 00:53:21,positive,keren
mantapp,5,2025-02-28 00:04:42,positive,mantapp
mudah dan cepat,5,2025-02-28 00:02:25,positive,mudah cepat
Banyak gratis ongkir Voucher diskon banyak banget Diskon gak nanggung nanggung Apk belanja paling bagus gak kayak apk sebelah,5,2025-02-27 23:56:34,positive,grati ongkir voucher diskon banget diskon gak nanggung nanggung apk belanja bagu gak kayak apk sebelah
Aplikasi nya bagus dan mudah 🤫👍👍👍,5,2025-02-27 23:42:50,positive,aplikasi nya bagu mudah 🤫👍👍👍
terbaik pokok nya,4,2025-02-27 23:38:29,positive,terbaik pokok nya
banyak diskon Saya suka,5,2025-02-27 23:37:42,positive,diskon suka
Ok,5,2025-02-27 23:02:09,positive,ok
Aplikasi Sampah Karena Ongkir Mahal dan Setiap Pembayaran Selalu Gagal,1,2025-02-27 22:50:36,negative,aplikasi sampah ongkir mahal pembayaran gagal
bgus,5,2025-02-27 22:45:36,positive,bgu
terbaik,5,2025-02-27 22:37:31,positive,terbaik
solusi yg di berikan tidak ada.dari email 1 dan 2 hanya nama saya yg di balik sampai muter2 aja gara2 salah pencet nomor telp yg baru buat akun tokped jadinya tutup ke 22 emailnya.kagak ada jalur solusinya.Terimakasih,1,2025-02-27 22:27:06,negative,solusi yg adadari email nama yg muter aja gara salah pencet nomor telp yg akun tokp tutup emailnyakagak jalur solusinyaterimakasih
Good job👍🏻👍🏻👍🏻👍🏻,5,2025-02-27 22:15:37,positive,good job👍🏻👍🏻👍🏻👍🏻
keren,5,2025-02-27 22:07:20,positive,keren
mantaap,5,2025-02-27 21:59:09,positive,mantaap
"Mantap lah,,",5,2025-02-27 21:24:53,positive,mantap
sangat membantu,5,2025-02-27 21:17:37,positive,membantu
sangat memuaskan,5,2025-02-27 21:05:35,positive,memuaskan
mudah,5,2025-02-27 20:19:59,positive,mudah
like,5,2025-02-27 20:13:14,positive,like
mantap,5,2025-02-27 19:54:29,positive,mantap
"Sudah Lama tidak belanja di tokopedia, eh,, ternyata ekspedisinya masih rekomendasi, paket dioper sana sini ekspedisi, akhirnya ga di kirim². KAPOK Belanja di tokopedia, mending di shopee pake ekspedisi yg profesional SPX xpress, paket sehari juga sampai.",1,2025-02-27 19:49:05,negative,belanja tokopedia eh ekspedisinya rekomendasi paket dioper ekspedisi ga kirim² kapok belanja tokopedia mend shope pake ekspedisi yg profesion spx xpress paket sehari
mantap,5,2025-02-27 19:31:35,positive,mantap
mantapp,5,2025-02-27 19:19:54,positive,mantapp
ok baik,5,2025-02-27 19:03:51,positive,ok
"gak lagi lagi dah beli di tokped, kurir rekomendasi nya lelet banget, return barang di persulit",1,2025-02-27 18:41:45,negative,gak dah beli tokp kurir rekomendasi nya lelet banget return barang persulit
masuk bosku. . Terbaik. . .,5,2025-02-27 18:39:25,positive,masuk bosku terbaik
"Tokopedia tetep yg terbaik Belanja aman dan pasti,admin yg keren ,pokoknya aku cinta Tokopedia Hanya Tokopedia pembeli dan penjual dilindungin Adminnya selalu membantu Buat tokopedia semakin bersinar Sukses sampai selamanya",5,2025-02-27 18:36:07,positive,tokopedia tetep yg terbaik belanja aman pastiadmin yg keren pokoknya cinta tokopedia tokopedia pemb penjual dilindungin adminnya membantu tokopedia bersinar suks
Sudah loding pake unlimited martfree ga seperti shopee dan lazada jadi untuk toko pedia jarang aku buka,1,2025-02-27 18:35:13,negative,lode pake unlimit martfre ga shope lazada toko pedia jarang buka
"Promo susah, ongkir mahal, banyak yang pindah haluan ke lazada karena lebih mudah dapetin lazrewards buat potongan harga.",1,2025-02-27 18:35:09,negative,promo susah ongkir mahal pindah haluan lazada mudah dapetin lazreward potongan harga
"mudah-mudahan barang yang di pesan sesuai dan semakin banyak promo, terimakasih Tokopedia",5,2025-02-27 18:34:22,positive,mudahmudahan barang pesan sesuai promo terimakasih tokopedia
"Coba dong tolong Tokopedia... Soal masalah pembatalan pesanan di permudah .gausah nunggu persetujuan dari penjual dulu ... Soal banyak toko yg gak niat jualan . Sudah di order tp gak di kirim² ... Giliran di batalkan baru di kirim esok hari nya ... Tolong dong Tokopedia Yg sat set ... Jujur sy gak seneng nya begini, kalo belanja di Tokopedia...toko² kurang sat set proses pengiriman nya ... Contoh shopee lah ...",2,2025-02-27 18:18:18,negative,coba tolong tokopedia pembatalan pesanan permudah gausah nunggu persetujuan penjual toko yg gak niat jualan order tp gak kirim² giliran batalkan kirim esok nya tolong tokopedia yg sat set jujur sy gak seneng nya kalo belanja tokopediatoko² sat set prose pengiriman nya contoh shope
"Sadar gak sih tokped...saya masih punya pesanan cod yg hampir 4bulan dalam status pengiriman ...,kenapa sistem tidak bisa membaca hal.ini.lawakkkk",1,2025-02-27 18:18:01,negative,sadar gak sih tokpedsaya pesanan cod yg statu pengiriman sistem membaca halinilawakkkk
mantap,5,2025-02-27 18:14:05,positive,mantap
ok,4,2025-02-27 18:11:06,positive,ok
aplikasi sampah penyelesaian komplain yang gajelas cuih,1,2025-02-27 18:05:31,negative,aplikasi sampah penyelesaian komplain gajela cuih
sangat membantu,5,2025-02-27 18:01:09,positive,membantu
mantab best seller nya dapat dipercaya,5,2025-02-27 17:49:49,positive,mantab best seller nya dipercaya
"Cs nya lama ga ada kejelasan mana itu uang dari ayah kena marah aku kalo ga keliatan barang nya di kira pembohong ,tolong di perbaiki lagi",1,2025-02-27 17:43:55,negative,cs nya ga kejelasan uang ayah kena marah kalo ga keliatan barang nya pembohong tolong perbaiki
"kurir tokped itu pada lambat kaya siput, banyak banget kelakuan tololnya, yg alhasil bikin paket gagal pickup. Dan lagi mana Tokopedia Carenya kek gk ada gunanya, gk nyelesain masalah cs, Gk ada tanggapan secara langsung/live. Malah kek ngomong sama bot cookk",1,2025-02-27 17:40:45,negative,kurir tokp lambat kaya siput banget kelakuan tololnya yg alhasil bikin paket gagal pickup tokopedia carenya kek gk gunanya gk nyelesain cs gk tanggapan langsungl kek ngomong bot cookk
pokok nya puas belanja di tokopedia.. muantapppp,5,2025-02-27 17:05:30,positive,pokok nya pua belanja tokopedia muantapppp
"Sengaja saya kasih b1 agar komentar saya di baca oleh pihak Tokopedia. Kenapa saya saat ingin cekaut barang yang memiliki voucher discount pengguna baru dan gratis ongkir malah tidak bisa digunakan padahal voucher discount& gratis ongkir nya masih ada waktu 2jm, saya ingin membeli barang seharga 60rbu dan mendapatkan diskon 70% saat ingin cekaut barang tersebut malah menjadi 100rbuan mohon untuk pihak Tokopedia menjelaskan apakah discount tersebut hanya untuk pajngan semta atau mmang bisa dignkn",1,2025-02-27 16:42:50,negative,sengaja kasih b komentar baca tokopedia cekaut barang memiliki voucher discount pengguna grati ongkir voucher discount grati ongkir nya jm memb barang seharga rbu diskon cekaut barang rbuan mohon tokopedia discount pajngan semta mmang dignkn
"Pengiriman nya lambat, sampai sekarang belum sampai asli sih ini parah banget",1,2025-02-27 16:40:53,negative,pengiriman nya lambat asli sih parah banget
Banyak bug,2,2025-02-27 16:40:31,negative,bug
yey,5,2025-02-27 16:21:55,positive,yey
"Pengirimannya lambat harusnya 3 hari udah nyampe ini bisa seminggu full baru dateng, tolong dongg dipilih pengiriman yang cepet. Menurut saya ini pengalaman terburuk saya, lebih cepetan Shopee sama lazada. Saya pesen paket nya bareng di apk tokopedia sama Shopee tapi lebih dulu dateng di apk Shopee😏.",1,2025-02-27 16:19:49,negative,pengirimannya lambat udah nyamp seminggu full dateng tolong dongg dipilih pengiriman cepet pengalaman terburuk cepetan shope lazada pesen paket nya bareng apk tokopedia shope dateng apk shopee😏
"Well, Bayar 15kan terus barangnya di refund karena Kurir ga bisa nemuin alamatnya GAJELASSS! Pesen di shope pakek SPX express Dengan alamat yg sama Kurirnya Bisa² aja nemuin , Padahal Udah ada lokasi Yg pas loh. Terus Bayar 15k yg di refund Cuman Rp3300an Ga Masalah si Tapi GA JELAS JADINYA",1,2025-02-27 16:17:11,negative,well bayar barangnya refund kurir ga nemuin alamatnya gajelasss pesen shope pakek spx express alamat yg kurirnya bisa² aja nemuin udah lokasi yg pa loh bayar k yg refund cuman rpan ga si ga
Pelayanan terbaik,5,2025-02-27 16:04:21,positive,pelayanan terbaik
Pengiriman dan onkir pakai instan tapi pengantaran sameday tokped gojek mau cari untung y TERLALU!!!!!,1,2025-02-27 16:02:18,negative,pengiriman onkir pakai instan pengantaran sameday tokp gojek cari untung y
"mohon kerja sama nya pingiriman paketnya lama bangett,kadang saya smpek lupa ...",5,2025-02-27 16:00:08,positive,mohon kerja nya pingiriman paketnya bangettkadang smpek lupa
"Lemot sekali bugs apk nya, tolong perbaiki",1,2025-02-27 15:59:55,negative,lemot bug apk nya tolong perbaiki
login nya lama karena kode pin tidak bisa terus jadi saya gagal membeli karena barang sudah habis,2,2025-02-27 15:57:55,negative,login nya kode pin gagal memb barang habi
"good job, Terima kasih Tokopedia",5,2025-02-27 15:41:06,positive,good job terima kasih tokopedia
Di dowload susah,2,2025-02-27 15:37:37,negative,dowload susah
Saya gak bisa menginstal,1,2025-02-27 15:27:27,negative,gak menginst
Terbaik,5,2025-02-27 15:26:08,positive,terbaik
Gak nyaman masak saya cek out tiba2 batal otomatis,1,2025-02-27 15:23:26,negative,gak nyaman masak cek out batal otomati
"Saya kasi bintang 1 untuk belanja disini tidak rekomend barang tidak sampai ke pelanggan, bahkan CS, gak merespon dengan serius.",1,2025-02-27 15:10:02,negative,kasi bintang belanja rekomend barang pelanggan cs gak merespon seriu
Tokopedia kocak,1,2025-02-27 15:09:14,negative,tokopedia kocak
"aplikasi yang sangat berguna , keamanan sangat bagus , fitur lengkap. terimakasih",5,2025-02-27 14:58:02,positive,aplikasi berguna keamanan bagu fitur lengkap terimakasih
Beli disini pakai sicepat tapi barang lama 5 hari blum datang jg gk kyk apk Orange gercep 2 hari nyampe,1,2025-02-27 14:52:48,negative,beli pakai sicepat barang blum jg gk kyk apk orang gercep nyamp
"Belanja di toko pedia biaya ongkos kirimnya 2x lipatl dari harga barang yg dipesan sudah begitu estimasi tibanya sangat lama, bagaimana bisa barang sebarat 35 gram yg di order per tgl 15-2 estimasi tiba 11-3 mending di toko oren",1,2025-02-27 14:52:06,negative,belanja toko pedia biaya ongko kirimnya x lipatl harga barang yg dipesan estimasi tibanya barang sebarat gram yg order tgl estimasi mend toko oren
bagus,5,2025-02-27 14:51:30,positive,bagu
"Bagus n pas mantap pisan,,, mereunnn ho oh,,,",4,2025-02-27 14:50:09,positive,bagu n pa mantap pisan mereunnn ho oh
mantap lebih gampang,5,2025-02-27 14:46:22,positive,mantap gampang
"Aplikasi ampas mau ganti nomer yang sudah tidak aktif gabisa, kode nya malah dikirim ke nomer yg tidak aktif. Pelayanan lelet pegawai yg nanganin tokped care nya kurang becus",1,2025-02-27 14:40:39,negative,aplikasi ampa ganti nomer aktif gabisa kode nya dikirim nomer yg aktif pelayanan lelet pegawai yg nanganin tokp care nya becu
bagus,5,2025-02-27 14:34:04,positive,bagu
"Banyak Bug, Hilang duit saya ga bisa balik",1,2025-02-27 14:26:02,negative,bug hilang duit ga
"Aplikasi ini bertambah tahun ke tahun makin nyiksa aja,makin rusak,makin ribet ,tiba2 apalah yg eror ga jelas.",1,2025-02-27 14:22:07,negative,aplikasi bertambah nyiksa ajamakin rusakmakin ribet apalah yg eror ga
Mantap,5,2025-02-27 14:12:07,positive,mantap
banyak diskon buat akun baru,4,2025-02-27 13:55:22,positive,diskon akun
"Bnyak toko yg gak aktif, sehingga pesanan kita dibatalkan sepihak dan uang yg dikembalikan gak 100%",1,2025-02-27 13:46:40,negative,bnyak toko yg gak aktif pesanan dibatalkan uang yg dikembalikan gak
Ribettttt masang pin aja banyak aturan,1,2025-02-27 13:45:21,negative,ribettttt masang pin aja aturan
mudah,5,2025-02-27 13:41:22,positive,mudah
keren,5,2025-02-27 13:29:25,positive,keren
toppp banget,5,2025-02-27 13:29:23,positive,toppp banget
Suka banget belanja di tokopedia🥰,5,2025-02-27 13:28:37,positive,suka banget belanja tokopedia🥰
Sudah payment barang co malah di batalkan sistem nggk jelas Tokopedia. Mending pindah toko oren aja,1,2025-02-27 13:21:14,negative,payment barang co batalkan sistem nggk tokopedia mend pindah toko oren aja
mantap saya suka banget belanja di toko pedia sangat cepat dan amanah,5,2025-02-27 13:21:03,positive,mantap suka banget belanja toko pedia cepat amanah
Promo nya mantap,5,2025-02-27 13:01:51,positive,promo nya mantap
"Tokped sejak merger sama tiktok kok promonya makin berkurang yaa, voucher free ongkir aja udah ga ada, ada pun tetep kena ongkir ga motong full",1,2025-02-27 12:59:03,negative,tokp merger tiktok promonya berkurang yaa voucher free ongkir aja udah ga tetep kena ongkir ga motong full
"Sudah lama menggunakan tokped tapi dikecewakan sama proses pengembalian barang, dalam seminggu kurir tidak kunjung datang hanya datang sekali dihari kedua itupun ditolak karena sudah gant hari",1,2025-02-27 12:53:26,negative,tokp dikecewakan prose pengembalian barang seminggu kurir kunjung dihari itupun ditolak gant
menyenangkan memilih dan membandingkan produk + harganya di toped,5,2025-02-27 12:42:26,positive,menyenangkan memilih membandingkan produk harganya tope
Erorr mulu... banyak transaksi yang di cancel oleh sistem,1,2025-02-27 12:27:41,negative,erorr mulu transaksi cancel sistem
Tingkatkan apk sebaik mungkin...good...!!!,5,2025-02-27 12:24:47,positive,tingkatkan apk mungkingood
"Admin sosmednya dimana2 lemot ga gubris, akun saya pengajuan ganti nomor sudah 1x24 jam di proses tidak ada kelanjutannya, akun ter log out, saldo masih ada! Gimana ini tokped ancur banget banyak pula yg komplen cacad pindah shopee aja lama2",1,2025-02-27 12:22:24,negative,admin sosmednya dimana lemot ga gubri akun pengajuan ganti nomor x jam prose kelanjutannya akun ter log out saldo gimana tokp ancur banget yg komplen cacad pindah shope aja
Diskon kecil gk kayak shopee,1,2025-02-27 12:06:53,negative,diskon gk kayak shope
"Buat pin aja dipersulit, angka acak pun tetap salah, sangat mempersulit pembuatan akun!! Saranku pembuatan pin jika akun sudah bisa dibuka,, kalau belum dibuka, terus buat pin aja selalu ""token tidak valid"", ya gabisa menggunakan apk nya. APLIKASI GA GUNA, GA JELAS!! BUANG BUANG WAKTU!!",1,2025-02-27 12:05:08,negative,pin aja dipersulit angka acak salah mempersulit pembuatan akun saranku pembuatan pin akun dibuka dibuka pin aja token valid ya gabisa apk nya aplikasi ga ga buang buang
Pesanan gak datang datang udah pesen 2 kali,1,2025-02-27 11:55:28,negative,pesanan gak udah pesen kali
"Terimakasih Tokopedia, sudah memberikan layanan yang cukup baik, terutama pada masalah jaringan.",4,2025-02-27 11:49:21,positive,terimakasih tokopedia layanan jaringan
Pesan di menu sekarang tidak bisa dihapus kenapa yah..?,1,2025-02-27 11:48:16,negative,pesan menu dihapu yah
ok asal jgn pembaharuan bsnyak,5,2025-02-27 11:40:10,positive,ok jgn pembaharuan bsnyak
mantap tokopedia toko amanah,5,2025-02-27 11:40:02,positive,mantap tokopedia toko amanah
"Tokopediaaaa selalu memberi kemudahan, saya puas menggunakan layanan-layanan dari Tokopediaa",5,2025-02-27 11:32:59,positive,tokopediaaaa kemudahan pua layananlayanan tokopediaa
Semua nya murah meriah,5,2025-02-27 11:30:34,positive,nya murah meriah
"Tokopedia mantap, barangnya asli & prosesnya cepat👍",5,2025-02-27 11:21:46,positive,tokopedia mantap barangnya asli prosesnya cepat👍
"bagus si, tapi update mulu ribet",4,2025-02-27 11:12:18,positive,bagu si updat mulu ribet
"Setiap kali promo KodeVoucher gak bisa dpke, daftar susah",1,2025-02-27 11:10:50,negative,kali promo kodevouch gak dpke daftar susah
gak bisa COD,1,2025-02-27 11:09:21,negative,gak cod
"Mengecewakan,saya pesan barang sampai 1 bulan belum sampai baranya,dan belum ada kejelasan refaund pembayaranya padahal sudah di bayar lunas",1,2025-02-27 11:00:54,negative,mengecewakansaya pesan barang baranyadan kejelasan refaund pembayaranya bayar luna
Sayang udah bukan milik 100% indo,5,2025-02-27 10:43:21,positive,sayang udah milik indo
Is baru belajar membuat akun Tokopedia harap dukungannya ya !,5,2025-02-27 10:38:58,positive,is belajar akun tokopedia harap dukungannya ya
Jossss,5,2025-02-27 10:35:31,positive,jossss
"penanganan costumer terlalu lambat,bertele tele",1,2025-02-27 10:24:36,negative,penanganan costum lambatbertel tele
mantap,5,2025-02-27 10:02:21,positive,mantap
ga jelas eh,1,2025-02-27 09:57:30,negative,ga eh
love sekebon 😜😜😜🥰🥰🥰🥰🥰,5,2025-02-27 09:38:52,positive,love sekebon 😜😜😜🥰🥰🥰🥰🥰
"Tampilan loading lama, masih bagus yang dulu lebih ringan. padahal pakai s23U lokasi di Jakarta. Saya kira masalah signal. Di hp keluarga juga sama. Lama loading nya.",1,2025-02-27 09:33:54,negative,tampilan load bagu ringan pakai su lokasi jakarta signal hp keluarga load nya
Kenapa Tokopedia semakin lama semakin jelek yah. Sudah pengiriman lambat skrg. Bisnis saya jadi ikut2an lambat dan pelanggan semua hilang. Resi saya sampai sekarang belum di input sama penjual. skrg orderan saya mana belum saya terima lagi. Adduuuuuucch,1,2025-02-27 09:16:57,negative,tokopedia jelek yah pengiriman lambat skrg bisni ikutan lambat pelanggan hilang resi input penjual skrg orderan terima adduuuuuucch
Masih oke,4,2025-02-27 09:08:39,positive,oke
"dapet diskon terus, suka 💕",5,2025-02-27 09:05:25,positive,dapet diskon suka 💕
"Sebenarnya aplikasi sangat bagus , tapi bnyak biaya tambahan, dan pelit promo, beda kaya dlu dan aplikasi sebelah setiap event tanggal kembar dan payday banyak promo",5,2025-02-27 09:02:40,positive,aplikasi bagu bnyak biaya tambahan pelit promo beda kaya dlu aplikasi sebelah event tanggal kembar payday promo
cinta milik Indonesia,5,2025-02-27 08:51:16,positive,cinta milik indonesia
makin joss yah toped🥰😍😎😎,5,2025-02-27 08:01:30,positive,joss yah toped🥰😍😎😎
Proses cepat & banyak pilihan produk yg dibutuhkan,5,2025-02-27 07:33:40,positive,prose cepat pilihan produk yg dibutuhkan
oke,5,2025-02-27 05:44:59,positive,oke
4th bersama tokped. sekarang sudah 10tahun,5,2025-02-27 05:38:44,positive,th tokp
Banya promo dan harga yg terjangkau Tp syang Ndak BS cod Dan KLO udah transfer dluan kurirnya mesti sembrono kdng di antar ke rumah tetangga tnpa pemberitauan,4,2025-02-27 04:41:55,positive,banya promo harga yg terjangkau tp syang ndak bs cod klo udah transfer dluan kurirnya mesti sembrono kdng rumah tetangga tnpa pemberitauan
Dari jaman nya pembayaran via transfer dan harus konfirmasi pembayaran nya upload bukti pembayaran sampe sekarang serba otomatis masih tetap setia dengan tokopedia,5,2025-02-27 03:35:40,positive,jaman nya pembayaran via transfer konfirmasi pembayaran nya upload bukti pembayaran samp serba otomati setia tokopedia
otw,5,2025-02-27 03:02:50,positive,otw
mudah. murah dan melindungi konsumen,5,2025-02-27 03:02:17,positive,mudah murah melindungi konsumen
Good lah mantap untuk digunakan belanja Online,5,2025-02-27 02:28:28,positive,good mantap belanja onlin
Sering error saat check out barang/masukkan ke keranjang,4,2025-02-27 01:47:46,positive,error check out barangmasukkan keranjang
Good jobs,5,2025-02-27 01:22:49,positive,good job
MAKIN KESINI MAKIN LEMOT PARAH!!!!!!!,1,2025-02-27 00:24:43,negative,kesini lemot parah
Ok,5,2025-02-27 00:14:36,positive,ok
"System skrg merugikan buyer,dan menguntungkan seller,krna stiap pembatalan hrs dpt ijin dulu dr seller,ya seller mana mau di batalin pesanannya, kocak emang tokopedia, harusnya batal ya semaunya buyerlah krna hak nya buyer, klo gini caranya ya namanya pemaksaan hrs beli, untuk tokopedia mohon di rubah lagi systemnya",1,2025-02-27 00:01:33,negative,system skrg merugikan buyerdan menguntungkan sellerkrna stiap pembatalan hr dpt ijin dr sellerya seller batalin pesanannya kocak emang tokopedia batal ya buyerlah krna hak nya buyer klo gini ya namanya pemaksaan hr beli tokopedia mohon rubah systemnya
Masya Allah luar biasa sengatttt,5,2025-02-27 00:00:06,positive,masya allah sengatttt
"kenapa ya pesanan saya malah tiba' di batalkan sama tokopedia nya?terus vocher pengguna baru nya tiba' gaada, jadi seolah olah saya sudah pakai, padahal kan saya pakai tapi pesanan saya malah di batalin sama tokopedia nya,harus nya vocernya di kembalikan juga dong, karna gajadi saya pakai",1,2025-02-26 23:49:47,negative,ya pesanan batalkan tokopedia nyateru vocher pengguna nya gaada olah pakai pakai pesanan batalin tokopedia nyaharu nya vocernya kembalikan karna gajadi pakai
Mantap☝👍Thank you min,5,2025-02-26 23:42:42,positive,mantap☝👍thank you min
"Apaansi padahal bisa cod tapi kok pas chek out gak bisa,terjadi masalah mulu",1,2025-02-26 23:27:42,negative,apaansi cod pa chek out gak bisaterjadi mulu
ok,5,2025-02-26 23:09:14,positive,ok
Kakak bisa bayar di tempat,5,2025-02-26 23:08:44,positive,kakak bayar
"aplikasinya udah bagus, tapi ada trouble pada saat ada pembayaran biasanya layarnya putih trus kembali ke halaman checkout atau keranjang dan itu bikin ganggu, itu aja sih thnx.",4,2025-02-26 23:07:49,positive,aplikasinya udah bagu troubl pembayaran layarnya putih tru halaman checkout keranjang bikin ganggu aja sih thnx
Coba dulu,4,2025-02-26 23:05:08,positive,coba
Good,5,2025-02-26 23:00:54,positive,good
